4,Ventricle 3rd
11,Ventricle 4th
23,Accumbens R
30,Accumbens L
31,Amygdala R
32,Amygdala L
35,Brain Stem
36,Caudate R
37,Caudate L
38,Cerebellum Exterior R
39,Cerebellum Exterior L
40,Cerebellum WM R
41,Cerebellum WM L
44,Cerebral WM R
45,Cerebral WM L
46,CSF
47,Hippocampus R
48,Hippocampus L
49,Ventricle Inf Lat R
50,Ventricle Inf Lat L
51,Ventricle Lateral R
52,Ventricle Lateral L
55,Pallidum R
56,Pallidum L
57,Putamen R
58,Putamen L
59,Thalamus Proper R
60,Thalamus Proper L
61,Ventral DC R
62,Ventral DC L
63,vessel R
64,vessel L
69,Optic Chiasm
71,Vermal Cb Lobules I-V
72,Vermal Cb Lobules VI-VII
73,Vermal Cb Lobules VIII-X
75,Basal Forebrain L
76,Basal Forebrain R
100,Cingulate Gyrus Ant R
101,Cingulate Gyrus Ant L
102,Insula Ant R
103,Insula Ant L
104,Orbital Gyrus Ant R
105,Orbital Gyrus Ant L
106,Angular Gyrus R
107,Angular Gyrus L
108,Calcarine R
109,Calcarine L
112,Central Operculum R
113,Central Operculum L
114,Cuneus R
115,Cuneus L
116,Entorhinal Area R
117,Entorhinal Area L
118,Frontal Operculum R
119,Frontal Operculum L
120,Frontal Pole R
121,Frontal Pole L
122,Fusiform Gyrus R
123,Fusiform Gyrus L
124,Gyrus Rectus R
125,Gyrus Rectus L
128,Occipital Gyrus Inf R
129,Occipital Gyrus Inf L
132,Temporal Gyrus Inf R
133,Temporal Gyrus Inf L
134,Lingual Gyrus R
135,Lingual Gyrus L
136,Orbital Gyrus Lat R
137,Orbital Gyrus Lat L
138,Cingulate Gyrus Mid R
139,Cingulate Gyrus Mid L
140,Frontal Cortex Med R
141,Frontal Cortex Med L
142,Frontal Gyrus Mid R
143,Frontal Gyrus Mid L
144,Occipital Gyrus Mid R
145,Occipital Gyrus Mid L
146,Orbital Gyrus Med R
147,Orbital Gyrus Med L
148,Postcentral Gyrus Med R
149,Postcentral Gyrus Med L
150,Precentral Gyrus Med R
151,Precentral Gyrus Med L
152,Frontal Gyrus Sup Med R
153,Frontal Gyrus Sup Med L
154,Temporal Gyrus Mid R
155,Temporal Gyrus Mid L
156,Occipital Pole R
157,Occipital Pole L
160,Fusiform Gyrus Occ R
161,Fusiform Gyrus Occ L
162,Frontal Gyrus Inf Oper R
163,Frontal Gyrus Inf Oper L
164,Frontal Gyrus Inf Orb R
165,Frontal Gyrus Inf Orb L
166,Cingulate Gyrus Post R
167,Cingulate Gyrus Post L
168,Precuneus R
169,Precuneus L
170,PHG R
171,PHG L
172,Insula Post R
173,Insula Post L
174,Parietal Oper R
175,Parietal Oper L
176,Postcentral Gyrus R
177,Postcentral Gyrus L
178,Orbital Gyrus Post R
179,Orbital Gyrus Post L
180,Planum Polare R
181,Planum Polare L
182,Precentral Gyrus R
183,Precentral Gyrus L
184,Planum Temporale R
185,Planum Temporale L
186,Subcallosal Area R
187,Subcallosal Area L
190,Frontal Gyrus Sup R
191,Frontal Gyrus Sup L
192,Supp Motor Cortex R
193,Supp Motor Cortex L
194,Supramarginal Gyrus R
195,Supramarginal Gyrus L
196,Occipital Gyrus Sup R
197,Occipital Gyrus Sup L
198,Parietal Lobule Sup R
199,Parietal Lobule Sup L
200,Temporal Gyrus Sup R
201,Temporal Gyrus Sup L
202,Temporal Pole R
203,Temporal Pole L
204,Frontal Gyrus Inf Tri R
205,Frontal Gyrus Inf Tri L
206,Temporal Gyrus Trans R
207,Temporal Gyrus Trans L
