53,Angular Gyrus
39,Anterior Cingulate
36,Caudate
27,Cerebellar Lingual
2,Cerebellar Tonsil
52,Cingulate Gyrus
43,Claustrum
15,Culmen
33,Culmen of Vermis
40,Cuneus
18,Declive
21,Declive of Vermis
35,Extra-Nuclear
22,Fastigium
10,Fourth Ventricle
19,Fusiform Gyrus
26,Inferior Frontal Gyrus
30,Inferior Occipital Gyrus
51,Inferior Parietal Lobule
1,Inferior Semi-Lunar Lobule
3,Inferior Temporal Gyrus
42,Insula
25,Lateral Ventricle
38,Lentiform Nucleus
29,Lingual Gyrus
31,Medial Frontal Gyrus
28,Middle Frontal Gyrus
32,Middle Occipital Gyrus
5,Middle Temporal Gyrus
14,Nodule
17,Orbital Gyrus
55,Paracentral Lobule
20,Parahippocampa Gyrus
47,Postcentral Gyrus
44,Posterior Cingulate
45,Precentral Gyrus
48,Precuneus
7,Pyramis
13,Pyramis of Vermis
23,Rectal Gyrus
34,Subcallosal Gyrus
11,Sub-Gyral
24,Superior Frontal Gyrus
49,Superior Occipital Gyrus
54,Superior Parietal Lobule
6,Superior Temporal Gyrus
50,Supramarginal Gyrus
41,Thalamus
37,Third Ventricle
46,Transverse Temporal Gyrus
12,Tuber
16,Tuber of Vermis
4,Uncus
8,Uvula
9,Uvula of Vermis
